,epoch,loss,loss_dpo,loss_llh
332,333.0,5.5982514e-07,5.4646426e-07,1.3360909e-08
333,334.0,5.1821144e-07,5.0465553e-07,1.3555874e-08
334,335.0,5.131448e-07,4.998776e-07,1.3267176e-08
335,336.0,4.9197337e-07,4.79762e-07,1.2211368e-08
336,337.0,4.7886965e-07,4.6666625e-07,1.22034045e-08
337,338.0,4.6784288e-07,4.5561893e-07,1.22239605e-08
338,339.0,4.4700434e-07,4.3508317e-07,1.1921183e-08
339,340.0,4.4260818e-07,4.3128267e-07,1.132552e-08
340,341.0,4.4348147e-07,4.321992e-07,1.1282304e-08
341,342.0,4.2176774e-07,4.1156284e-07,1.0204896e-08
342,343.0,4.093833e-07,3.984999e-07,1.0883371e-08
343,344.0,3.9439615e-07,3.8498345e-07,9.412703e-09
344,345.0,3.8971038e-07,3.803576e-07,9.352804e-09
345,346.0,3.6972622e-07,3.602302e-07,9.496025e-09
346,347.0,3.6342226e-07,3.545082e-07,8.914056e-09
347,348.0,3.4738264e-07,3.380719e-07,9.310729e-09
348,349.0,3.3877825e-07,3.3067263e-07,8.105599e-09
349,350.0,3.30412e-07,3.2177235e-07,8.639649e-09
350,351.0,3.2192952e-07,3.1286962e-07,9.0598915e-09
351,352.0,3.141838e-07,3.0631665e-07,7.867131e-09
352,353.0,3.107866e-07,3.037682e-07,7.0183885e-09
353,354.0,2.9989278e-07,2.920958e-07,7.7969835e-09
354,355.0,2.9066592e-07,2.8310524e-07,7.560689e-09
355,356.0,2.8324774e-07,2.7620297e-07,7.0447954e-09
356,357.0,2.7252725e-07,2.657448e-07,6.782434e-09
357,358.0,2.6783226e-07,2.6169053e-07,6.141735e-09
358,359.0,2.5416975e-07,2.4796873e-07,6.201012e-09
359,360.0,2.5656027e-07,2.5021453e-07,6.345734e-09
360,361.0,2.4468085e-07,2.381905e-07,6.4903456e-09
361,362.0,2.4332417e-07,2.3747288e-07,5.8512835e-09
362,363.0,2.2725213e-07,2.2143038e-07,5.8217426e-09
363,364.0,2.2644288e-07,2.2052039e-07,5.922493e-09
364,365.0,2.175691e-07,2.121989e-07,5.370198e-09
365,366.0,2.1084435e-07,2.0556267e-07,5.281677e-09
366,367.0,2.0651503e-07,2.0098898e-07,5.5260387e-09
367,368.0,2.0545738e-07,2.0062555e-07,4.831834e-09
368,369.0,1.968265e-07,1.9178555e-07,5.0409605e-09
369,370.0,1.8965359e-07,1.85066e-07,4.587594e-09
370,371.0,1.8506393e-07,1.8002201e-07,5.041914e-09
371,372.0,1.7870396e-07,1.7422303e-07,4.4809267e-09
372,373.0,1.7510081e-07,1.704479e-07,4.652905e-09
373,374.0,1.715981e-07,1.6756154e-07,4.036564e-09
374,375.0,1.6843802e-07,1.6424107e-07,4.196944e-09
375,376.0,1.6068874e-07,1.5663045e-07,4.058305e-09
376,377.0,1.553132e-07,1.51211e-07,4.1022097e-09
377,378.0,1.5293107e-07,1.4917542e-07,3.7556362e-09
378,379.0,1.4831615e-07,1.4462374e-07,3.6924055e-09
379,380.0,1.4261532e-07,1.3895082e-07,3.6644972e-09
